fixture,team,goals,assists,shots_total_x,shots_on_x,passes_total,accurate_passes,fouls_committed,yellow_cards,red_cards,minutes,tackles,interceptions,shots_accuracy_for,pass_accuracy_team,expected_goals,goals_prevented,possession,corners,shots_total_y,shots_on_y,shots_on,shots_total,dominance_index,goal_conversion_rate,shot_on_target_ratio,control_index,cards_total,fouls_per_90_team,cards_per_90_team,cards_per_foul_team,fouls_per_duel_team,aggression_index_raw,aggression_index_norm,avg_goals_last_5,avg_cards_last_5,form_index_team
1. FC Köln vs RB Leipzig,1. FC Köln,1.0,1,7.0,3.0,341,249.0,7.0,1,0,1008,21.0,6.0,0.42857142857142855,0.7302052785923754,1.05,0,0.46,4,10,3,0,0,0.25458823529411767,0,0,0.5149755331773582,1,7.0,1,0.14285714285714285,0.25925925925925924,3.8518518518518516,0.2186150228143651,1.8,1.6,0.42000000000000004
1. FC Köln vs SC Freiburg,1. FC Köln,4.0,3,13.0,6.0,353,278.0,12.0,2,0,990,9.0,5.0,0.46153846153846156,0.7875354107648725,2.11,-1,0.39,3,18,6,0,0,0.20894117647058827,0,0,0.5354939838335152,2,12.0,2,0.16666666666666666,0.8571428571428571,6.771428571428571,0.4918868129088215,2.4,1.6,0.72
1. FC Köln vs Union Berlin,1. FC Köln,0.0,0,7.0,2.0,524,452.0,9.0,2,1,998,9.0,2.0,0.2857142857142857,0.8625954198473282,0.55,0,0.62,3,13,2,0,0,0.3009411764705882,0,0,0.6245817773194666,3,9.0,3,0.3333333333333333,0.8181818181818182,5.563636363636364,0.37883770668997085,2.2,2.2,0.44000000000000006
1. FC Köln vs VfB Stuttgart,1. FC Köln,1.0,1,12.0,7.0,383,309.0,12.0,2,0,996,9.0,11.0,0.5833333333333334,0.8067885117493473,1.08,0,0.43,8,15,7,0,0,0.3131764705882353,0,0,0.6129892898681706,2,12.0,2,0.16666666666666666,0.6,6.72,0.4870731090311156,2.0,1.8,0.45999999999999996
1. FC Köln vs VfL Wolfsburg,1. FC Köln,1.0,1,10.0,3.0,320,230.0,8.0,1,0,1002,21.0,5.0,0.3,0.71875,1.26,0,0.42,3,15,3,0,0,0.22094117647058825,0,0,0.4911515297073603,1,8.0,1,0.125,0.3076923076923077,4.361538461538461,0.2663215863317052,1.4,1.8,0.15999999999999992
1899 Hoffenheim vs 1. FC Köln,1. FC Köln,1.0,1,9.0,4.0,330,251.0,6.0,1,0,1002,13.0,10.0,0.4444444444444444,0.7606060606060606,0.9400000000000001,1,0.39,6,10,4,0,0,0.2618823529411765,0,0,0.5503887530343339,1,6.0,1,0.16666666666666666,0.2608695652173913,3.3521739130434782,0.17184526886569365,1.4,1.8,0.15999999999999992
Bayer Leverkusen vs 1. FC Köln,1. FC Köln,0.0,0,5.0,4.0,369,289.0,6.0,1,0,990,20.0,4.0,0.8,0.7831978319783198,0.2,0,0.39,3,5,4,0,0,0.20894117647058827,0,0,0.5381493150432539,1,6.0,1,0.16666666666666666,0.25,3.3499999999999996,0.1716417910447761,0.6,1.6,-0.18
Borussia Dortmund vs 1. FC Köln,1. FC Köln,0.0,0,5.0,0.0,260,198.0,8.0,2,0,984,20.0,8.0,0.0,0.7615384615384615,0.39,0,0.30000000000000004,2,5,0,0,0,0.15529411764705886,0,0,0.4826906023329316,2,8.0,2,0.25,0.2857142857142857,4.657142857142857,0.29399009793646774,0.6,1.4,-0.12
Borussia Mönchengladbach vs 1. FC Köln,1. FC Köln,1.0,0,11.0,5.0,598,530.0,13.0,3,0,990,15.0,8.0,0.45454545454545453,0.8862876254180602,2.22,0,0.64,6,19,5,0,0,0.3618823529411765,0,0,0.6940335555408361,3,13.0,3,0.23076923076923078,0.5652173913043478,7.51304347826087,0.5613018181018269,0.6,1.6,-0.18
FC Augsburg vs 1. FC Köln,1. FC Köln,0.0,0,7.0,3.0,440,360.0,4.0,1,0,996,17.0,7.0,0.42857142857142855,0.8181818181818182,0.48,0,0.54,9,10,3,0,0,0.3748235294117647,0,0,0.6476365786150002,1,4.0,1,0.25,0.16666666666666666,2.333333333333333,0.07648199679568257,0.4,1.6,-0.27999999999999997
