fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Athletic Club vs Sevilla,Athletic Club,Athletic Club,Sevilla,3,2,3-2,3,3,14,8,11,3,8,10,0,0.46,0,0,4,387,302,0.78,2.89,0
Athletic Club vs Sevilla,Sevilla,Athletic Club,Sevilla,3,2,3-2,6,4,12,2,10,2,12,1,8,0.54,2,0,0,477,396,0.83,1.01,0
Espanyol vs Atletico Madrid,Espanyol,Espanyol,Atletico Madrid,2,1,2-1,5,4,9,0,6,3,14,1,0,0.4,3,0,3,394,323,0.82,1.26,0
Espanyol vs Atletico Madrid,Atletico Madrid,Espanyol,Atletico Madrid,2,1,2-1,4,7,15,4,9,6,11,3,1,0.6,3,0,3,618,551,0.89,1.1,0
Elche vs Real Betis,Elche,Elche,Real Betis,1,1,1-1,2,3,6,1,3,3,14,1,4,0.68,0,0,3,683,615,0.9,0.73,0
Elche vs Real Betis,Real Betis,Elche,Real Betis,1,1,1-1,4,4,12,4,6,6,13,3,0,0.32,1,0,1,321,261,0.81,1.86,0
Real Madrid vs Osasuna,Real Madrid,Real Madrid,Osasuna,1,0,1-0,5,7,18,6,11,7,10,7,0,0.71,1,0,0,721,659,0.91,1.64,0
Real Madrid vs Osasuna,Osasuna,Real Madrid,Osasuna,1,0,1-0,0,2,2,0,2,0,12,0,0,0.29,0,1,4,299,228,0.76,0.36,0
Real Betis vs Alaves,Real Betis,Real Betis,Alaves,1,0,1-0,5,7,16,4,10,6,10,5,2,0.49,2,0,5,470,406,0.86,1.95,0
Real Betis vs Alaves,Alaves,Real Betis,Alaves,1,0,1-0,5,5,11,1,6,5,17,2,3,0.51,3,0,5,485,400,0.82,1.12,0
Mallorca vs Celta Vigo,Mallorca,Mallorca,Celta Vigo,1,1,1-1,4,7,12,1,8,4,12,3,1,0.5,3,0,1,433,372,0.86,0.68,0
Mallorca vs Celta Vigo,Celta Vigo,Mallorca,Celta Vigo,1,1,1-1,2,4,8,2,3,5,12,4,1,0.5,3,0,3,445,385,0.87,0.74,0
Atletico Madrid vs Elche,Atletico Madrid,Atletico Madrid,Elche,1,1,1-1,6,4,13,3,7,6,14,10,3,0.58,0,0,1,545,465,0.85,1.74,0
Atletico Madrid vs Elche,Elche,Atletico Madrid,Elche,1,1,1-1,2,3,6,1,5,1,7,2,0,0.42,3,0,5,413,335,0.81,0.57,0
Levante vs Barcelona,Levante,Levante,Barcelona,2,3,2-3,5,1,8,2,8,0,10,0,6,0.18,3,0,9,160,93,0.58,2.14,0
Levante vs Barcelona,Barcelona,Levante,Barcelona,2,3,2-3,10,8,26,8,16,10,8,11,0,0.82,1,0,3,761,699,0.92,1.93,0
Osasuna vs Valencia,Osasuna,Osasuna,Valencia,1,0,1-0,4,6,16,6,9,7,14,3,2,0.56,2,0,1,464,382,0.82,0.83,0
Osasuna vs Valencia,Valencia,Osasuna,Valencia,1,0,1-0,1,2,4,1,1,3,13,4,1,0.44,1,1,3,370,296,0.8,0.41,0
Villarreal vs Girona,Villarreal,Villarreal,Girona,5,0,5-0,7,7,19,5,13,6,8,8,3,0.53,1,0,2,517,467,0.9,2.3,-3
Villarreal vs Girona,Girona,Villarreal,Girona,5,0,5-0,2,1,5,2,3,2,9,1,0,0.47,2,0,2,470,426,0.91,0.14,-3
Real Sociedad vs Espanyol,Real Sociedad,Real Sociedad,Espanyol,2,2,2-2,7,4,15,4,11,4,16,5,1,0.62,2,0,1,501,434,0.87,1.1,0
Real Sociedad vs Espanyol,Espanyol,Real Sociedad,Espanyol,2,2,2-2,3,7,14,4,5,9,18,2,1,0.38,2,0,5,306,216,0.71,1.84,0
Oviedo vs Real Madrid,Oviedo,Oviedo,Real Madrid,0,3,0-3,3,3,6,0,3,3,8,1,2,0.35,2,0,8,376,314,0.84,0.5,0
Oviedo vs Real Madrid,Real Madrid,Oviedo,Real Madrid,0,3,0-3,10,6,26,10,14,12,7,9,2,0.65,1,0,3,699,644,0.92,2.67,0
Athletic Club vs Rayo Vallecano,Athletic Club,Athletic Club,Rayo Vallecano,1,0,1-0,4,3,11,4,5,6,13,3,0,0.41,0,0,1,334,253,0.76,1.51,0
Athletic Club vs Rayo Vallecano,Rayo Vallecano,Athletic Club,Rayo Vallecano,1,0,1-0,1,2,6,3,2,4,13,6,7,0.59,4,0,3,498,413,0.83,0.29,0
Sevilla vs Getafe,Sevilla,Sevilla,Getafe,1,2,1-2,3,8,12,1,8,4,10,5,4,0.71,2,0,4,533,453,0.85,0.51,0
Sevilla vs Getafe,Getafe,Sevilla,Getafe,1,2,1-2,6,1,9,2,3,6,24,3,1,0.29,2,0,3,221,132,0.6,0.71,0
Celta Vigo vs Real Betis,Celta Vigo,Celta Vigo,Real Betis,1,1,1-1,5,6,14,3,10,4,13,10,5,0.47,1,0,0,496,442,0.89,0.76,0
Celta Vigo vs Real Betis,Real Betis,Celta Vigo,Real Betis,1,1,1-1,2,2,7,3,3,4,11,4,2,0.53,2,0,4,571,515,0.9,0.32,0
Elche vs Levante,Elche,Elche,Levante,2,0,2-0,5,7,16,4,13,3,14,4,1,0.67,1,0,1,568,503,0.89,1.11,0
Elche vs Levante,Levante,Elche,Levante,2,0,2-0,1,8,11,2,5,6,17,2,1,0.33,2,0,3,272,216,0.79,1.01,0
Valencia vs Getafe,Valencia,Valencia,Getafe,3,0,3-0,4,1,7,2,5,2,18,8,0,0.57,2,0,1,408,332,0.81,1.13,-1
Valencia vs Getafe,Getafe,Valencia,Getafe,3,0,3-0,1,6,11,4,7,4,7,6,5,0.43,0,0,1,296,238,0.8,0.66,-1
Alaves vs Atletico Madrid,Alaves,Alaves,Atletico Madrid,1,1,1-1,2,2,5,1,3,2,10,1,0,0.4,2,0,5,377,301,0.8,0.92,0
Alaves vs Atletico Madrid,Atletico Madrid,Alaves,Atletico Madrid,1,1,1-1,6,6,15,3,12,3,17,6,1,0.6,3,0,1,548,464,0.85,1.09,0
Oviedo vs Real Sociedad,Oviedo,Oviedo,Real Sociedad,1,0,1-0,1,7,8,0,4,4,7,1,2,0.43,2,0,6,408,336,0.82,0.45,0
Oviedo vs Real Sociedad,Real Sociedad,Oviedo,Real Sociedad,1,0,1-0,6,9,18,3,9,9,18,10,1,0.57,1,0,0,526,446,0.85,1.1,0
Girona vs Sevilla,Girona,Girona,Sevilla,0,2,0-2,5,6,20,9,12,8,5,11,2,0.59,0,0,2,427,358,0.84,2.12,1
Girona vs Sevilla,Sevilla,Girona,Sevilla,0,2,0-2,4,6,13,3,10,3,14,3,0,0.41,1,0,5,322,254,0.79,1.26,1
Real Madrid vs Mallorca,Real Madrid,Real Madrid,Mallorca,2,1,2-1,7,6,17,4,7,10,12,4,3,0.58,2,0,2,538,481,0.89,1.82,0
Real Madrid vs Mallorca,Mallorca,Real Madrid,Mallorca,2,1,2-1,5,2,9,2,8,1,7,5,1,0.42,0,0,5,382,302,0.79,0.72,0
